неадекватно	negative	адекватно	positive	
незаконно	negative	законно	positive	
незаслуженно	negative	заслуженно		
некстати	negative	кстати		
нелегально	negative	легально	positive	
презрительно	negative	зрительно		
антиисторично	negative	исторично		
антисоветски		советски		
архибыстро	very positive	быстро	positive	x
безбедно	positive	бедно	negative	
бездельно	negative	дельно	positive	
бездельно		дельно		
безжизненно		жизненно		
беззазорно		зазорно	negative	
беззвучно		звучно	positive	
безошибочно	positive	ошибочно	negative	
безукоризненно	positive	укоризненно	negative	
бесплатно		платно		
беспорядочно		порядочно	positive	
бесприветно	negative	приветно	positive	
бессильно	negative	сильно	positive	x
бессовестно	negative	совестно		
бессонно		сонно		
бесцельно	negative	цельно		
бесценно	positive	ценно	positive	
бесценно		ценно		
бесцеремонно	negative	церемонно		
бесшумно		шумно	negative	
дискомфортно	negative	комфортно	positive	
наиболее	very positive	более	positive	x
наименее	very negative	менее	negative	x
небезболезненно	negative	безболезненно	positive	
невкусно	negative	вкусно	positive	
невовремя	negative	вовремя	positive	
неволей	negative	волей		
невпопад	negative	впопад	positive	
недёшево	negative	дёшево		
недобро	negative	добро	positive	x
недорого		дорого		
недурно	positive	дурно	negative	
незло	positive	зло	negative	x
неинтересно	negative	интересно	positive	
некачественно	negative	качественно	positive	
некомфортно	negative	комфортно	positive	
некрасиво	negative	красиво	positive	
нелюбезно	negative	любезно	positive	
немало	positive	мало	negative	x
немедленно		медленно	negative	x
немилосердно	negative	милосердно	positive	
немного		много	positive	x
немощно	negative	мощно	positive	
ненамного		намного	positive	x
необдуманно	negative	обдуманно	positive	
неосмотрительно	negative	осмотрительно	positive	
непонятно	negative	понятно	positive	
непорочно	positive	порочно	negative	
непосредственно		посредственно	negative	
непочтительно	negative	почтительно	positive	
непредвзято	negative	предвзято	positive	
неприятно	negative	приятно	positive	
несвоевременно	negative	своевременно	positive	
нескладно	negative	складно	positive	
нескромно	negative	скромно		
несолидно		солидно	positive	
нестрашно	positive	страшно	negative	
нетерпеливо	negative	терпеливо	positive	
неточно	negative	точно	positive	
неудобно	negative	удобно	positive	
неудовлетворительно	negative	удовлетворительно		
нехорошо	negative	хорошо	positive	
нечестно	negative	честно	positive	
нечисто	negative	чисто	positive	
нешумно		шумно	negative	
неясно	negative	ясно	positive	
пребольно	very negative	больно	negative	
превыше		выше		x
премного	very positive	много	positive	x
преподло	very negative	подло	negative	
сверхдорогой		дорогой		
сверхоперативно	very positive	оперативно	positive	
битком	negative			
впустую	negative			
втридорога	negative			
задорого	negative			
зря	negative			
катастрофически	negative			
маловато	negative			
насильственно	negative			
нахрапом	negative			
по-свински	negative			
превратно	negative			
спьяну	negative			
стыдно	negative			
досыта	positive			
мастерски	positive			
очешуенно	positive			
покрепче	positive			
хорошенько	positive			
крайне	positive			x
очень	positive			x
самый	positive			x
слишком	positive			x
